"Index","XStart","YStart","Angle","Major","Minor","SineRad"
1559,73,374,0.93239266,6.640767,4.7932696,0.0162726035950347
1559,74,386,3.088539,6.6519957,4.5937715,0.0538790724316447
1559,72,398,2.667553,6.844089,4.650873,0.0465407648754404
1559,74,410,2.6205733,7.3524566,4.675644,0.045721687380781
1559,74,421,16.38954,5.8306518,5.0225105,0.282166318398443
1559,73,434,0,7.1747584,4.791446,0
1558,73,314,156.89056,5.5869784,4.102094,0.392488660222712
1558,74,326,165.96376,4.640374,4.115744,0.242535566316775
1558,73,339,2.5963711e-14,4.110886,3.0972385,4.5315224298627e-16
1558,74,350,26.565052,5.024401,4.8148127,0.447213608346346
1558,73,362,1.0227042,6.3741016,4.7940483,0.0178486077479381
1558,73,374,6.0473785,6.7158594,4.9292617,0.105350808352284
1558,74,386,4.9400654,7.509888,4.4080853,0.0861136197067768
1558,72,398,0.4629559,7.673423,4.977855,0.00808001682438266
1558,72,410,179.38512,6.942031,4.9520764,0.0107314745130903
1558,72,422,3.5783184,6.3755136,4.7929864,0.0624128464516515
1558,71,434,177.79007,7.5429454,5.0639615,0.0385609919600161
1557,73,314,149.03624,5.4755664,3.953029,0.514495807328773
1557,74,326,90,4.263731,4.1806936,1
1557,73,338,135,4.6590667,4.0992312,0.707106781186548
1557,74,350,29.232605,4.682956,4.350208,0.488356329174038
1557,73,362,9.172217,6.5636454,4.4616227,0.159402501775013
1557,72,374,174.1671,6.5706286,4.456881,0.101627554250072
1557,72,386,2.8914134e-14,6.9411135,4.585862,5.04646838662838e-16
1557,73,398,3.9733946,7.5088363,4.2391376,0.069293245549142
1557,72,410,0,7.2764044,5.0744767,0
1557,73,422,6.885326,6.986727,4.5559225,0.119882580197339
1557,73,434,1.1810559,7.370254,4.8371067,0.0206118543399722
1556,75,312,81.99949,6.125824,5.6118927,0.990266829897631
1556,74,326,90,4.263731,4.1806936,1
1556,73,339,2.5963711e-14,4.110886,3.0972385,4.5315224298627e-16
1556,74,350,20.956175,6.467449,3.9373777,0.357653757941067
1556,73,362,8.834192,6.8875637,4.6215167,0.153575547119614
1556,73,374,179.53194,7.0789742,4.496554,0.00816909723452966
1556,73,386,4.497194,7.1795545,4.610903,0.0784102726652727
1556,72,398,2.333429,7.3265715,4.865947,0.0407147617574737
1556,72,410,7.319781,7.120317,4.828081,0.127407046209618
1556,73,422,173.68637,6.328607,4.828511,0.109970759742376
1556,72,434,179.15544,7.6587634,4.6548905,0.0147398189440522
1555,73,314,125.86368,6.6761723,4.76785,0.810413181208554
1555,75,324,81.01334,6.408421,4.5696917,0.987724735979342
1555,73,338,66.255226,5.0118537,4.06473,0.915348210202718
1555,73,350,45,5.645278,4.5108128,0.707106781186547
1555,73,362,12.952199,7.288835,4.3670883,0.224138073982241
1555,73,374,13.699698,6.704809,4.747486,0.23683302512957
1555,73,386,10.690228,7.221211,4.7606235,0.185499024561201
1555,72,398,175.54254,6.869225,4.4485,0.0777188998725495
1555,72,410,2.7975461,7.3961387,4.648029,0.0488069922478167
1555,73,422,3.2849514,6.6863294,4.570183,0.0573018128771908
1555,73,434,6.308286,7.7639256,4.919829,0.109878054570419
1554,74,314,122.06682,4.4244657,3.45327,0.847429512368791
1554,73,325,100.83375,6.007693,4.238697,0.982176703613658
1554,74,338,45.000557,4.659061,4.0992365,0.707113655280347
1554,73,350,36.136185,5.6213913,4.7564793,0.589706523720509
1554,73,362,7.7260056,6.824966,4.8504605,0.134435962370087
1554,72,374,5.1831613,7.2950635,4.712429,0.0903398950683946
1554,72,386,0,7.1846147,4.784873,0
1554,74,397,3.0531328,7.3013444,5.231528,0.0532620050171115
1554,73,410,9.2926655,7.0317535,4.88889,0.161477491220803
1554,74,421,171.94853,6.672546,5.7245297,0.140062623253543
1554,74,433,0,7.5896726,5.0327845,0
1553,73,314,113.744774,5.0118537,4.06473,0.915348210202718
1553,75,325,69.298355,5.7569118,5.086844,0.935433881946076
1553,74,338,31.586063,5.2885485,4.3335733,0.523778710842369
1553,74,350,41.7792,5.777975,4.1868563,0.666261797312014
1553,73,362,17.611748,7.695768,4.4670615,0.302565327828077
1553,72,374,6.762844,7.829094,5.0415063,0.117760010747219
1553,72,386,179.93091,8.058649,4.7398996,0.00120584768797167
1553,72,398,179.38512,6.942031,4.9520764,0.0107314745130903
1553,74,409,7.1668925,7.246977,5.0950828,0.124759934190785
1553,72,422,2.7975461,7.3961387,4.648029,0.0488069922478167
1553,72,434,2.7975461,7.3961387,4.648029,0.0488069922478167
1552,73,314,78.69007,4.9540467,4.3691697,0.980580684159174
1552,73,326,175.34503,5.673842,4.936914,0.0811552043937789
1552,72,338,173.15207,6.0602126,4.6221595,0.119234578483075
1552,74,350,27.180096,5.831935,4.5847616,0.456788924832345
